iter	Passed	Remaining
0	1	115
1	2	107
2	3	105
3	4	99
4	5	102
5	6	103
6	7	99
7	8	98
8	9	96
9	10	95
10	11	90
11	11	87
12	12	86
13	13	85
14	14	83
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	19	74
21	20	74
22	22	74
23	23	73
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	60
34	31	59
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	37	48
44	38	47
45	39	45
46	39	45
47	40	44
48	41	42
49	41	41
50	42	40
51	43	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	48	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	53	26
67	54	25
68	55	24
69	55	23
70	56	23
71	57	22
72	58	21
73	58	20
74	59	19
75	60	19
76	60	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
